-3321,   -232,   1427,   -1754,   -293,   85,   -201,   -1105,   126,   -651,   41,   450,   -4636,   -670,   1413,   1448,   1258,   333,   564,   -244,   384,   853,   -66,   43,   
-5001,   -94,   1633,   -1279,   10,   177,   348,   -709,   429,   -215,   -302,   123,   -3337,   -213,   589,   1705,   706,   163,   347,   284,   40,   1065,   -26,   -256,   
-5539,   420,   1736,   -995,   -12,   196,   314,   -742,   343,   232,   -130,   66,   -1443,   525,   9,   1395,   -618,   210,   299,   765,   -258,   499,   173,   -213,   
-5258,   470,   1414,   -318,   -603,   207,   315,   -238,   -33,   77,   0,   160,   -403,   698,   -317,   882,   -833,   295,   -136,   541,   -439,   -14,   396,   83,   
-5358,   274,   1551,   -141,   -914,   385,   265,   -193,   -30,   -48,   150,   111,   -273,   790,   -694,   581,   -467,   16,   31,   530,   -532,   -138,   296,   -5,   
-5697,   1026,   1250,   -383,   -789,   525,   168,   -171,   -44,   -97,   152,   225,   -217,   789,   -752,   392,   -51,   -334,   435,   56,   -488,   273,   106,   -259,   
-5729,   1327,   777,   -90,   -620,   62,   434,   20,   -450,   111,   239,   25,   70,   483,   -582,   332,   10,   -403,   530,   -139,   -295,   276,   -43,   -110,   
-5399,   1127,   673,   245,   -827,   -133,   884,   -260,   -555,   408,   115,   -186,   137,   -230,   166,   33,   -121,   -69,   344,   -342,   22,   264,   -248,   91,   
-5402,   948,   966,   44,   -879,   109,   702,   -358,   -218,   114,   104,   151,   -152,   -220,   652,   -562,   -162,   660,   -254,   -478,   544,   0,   -311,   228,   
-5655,   870,   1405,   -400,   -841,   397,   550,   -496,   -127,   298,   -153,   299,   -631,   49,   568,   -646,   16,   664,   -639,   -15,   544,   -492,   91,   299,   
-5829,   1125,   1390,   -611,   -856,   787,   219,   -580,   153,   166,   -94,   125,   -797,   136,   221,   -217,   138,   -36,   -152,   196,   128,   -488,   358,   169,   
-6132,   1113,   1314,   -397,   -814,   525,   166,   -172,   76,   -356,   351,   276,   -602,   28,   66,   49,   173,   -419,   140,   293,   -142,   -348,   306,   261,   
-6359,   1031,   1343,   -283,   -685,   -10,   665,   -225,   -127,   -292,   389,   416,   -414,   76,   -158,   119,   305,   -394,   -68,   338,   -153,   74,   -257,   280,   
-6294,   959,   1528,   -490,   -667,   167,   537,   -233,   -201,   5,   65,   546,   -216,   335,   -251,   -132,   296,   66,   -317,   58,   3,   480,   -628,   54,   
-6369,   1316,   1046,   -386,   -472,   374,   -69,   -42,   61,   97,   -337,   410,   38,   633,   -439,   -250,   269,   344,   -498,   50,   22,   490,   -602,   -10,   
-6451,   1473,   1086,   -544,   -476,   432,   57,   -176,   -13,   170,   -229,   361,   330,   854,   -991,   91,   426,   -94,   -110,   -186,   168,   300,   -287,   -251,   
-6223,   1724,   905,   -632,   -376,   374,   158,   -178,   -187,   361,   -367,   493,   688,   353,   -853,   476,   160,   -470,   536,   -521,   300,   64,   -157,   -76,   
